% Model:              polynomial_hyperelastic.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 11 2023, 19:17
% Dimension:          1
% Nodes:              11
% Expressions:        1
% Description:        點圖
% 應變張量 , ZZ 分量 (1)        應力張量 , z 分量
0.007873894655901825      140909.08038026886
0.08999615532487493       1524179.3459876284
0.17826989619377143       2870830.5948080863
0.2726951172625911        4192074.1129989843
0.373271818531334         5495762.59981775
0.47999999999999926       6787457.120887847
0.5928796616685885        8071078.304295883
0.7119108035371005        9349416.56304943
0.8370934256055356        1.0624431935416447E7
0.9684275278738935        1.1897485367863908E7
1.105913110342175         1.3169511862278098E7
