% Model:              polynomial_hyperelastic.mph
% Version:            COMSOL 6.2.0.290
% Date:               Dec 11 2023, 19:18
% Dimension:          1
% Nodes:              11
% Expressions:        1
% Description:        點圖
% 應變張量 , ZZ 分量 (1)        應力張量 , z 分量
0.007873894655901603      94025.22545955768
0.08999615532487493       1026196.6977125471
0.17826989619377176       1949694.2176332872
0.2726951172625911        2871063.8844297617
0.37327181853133373       3794874.226402464
0.47999999999999926       4724283.654814199
0.5928796616685885        5661472.724003802
0.7119108035371005        6607877.262183166
0.8370934256055363        7564396.182616383
0.9684275278738941        8531546.314803308
1.1059131103421742        9509547.536201999
